rank;hitYear;week;album
41;2023;50;DARK BLOOD
46;2023;50;DIMENSION : DILEMMA
52;2023;50;ORANGE BLOOD (Weverse)
85;2023;50;MANIFESTO : DAY 1
3;2023;49;ORANGE BLOOD (Weverse)
8;2023;49;DARK BLOOD
10;2023;49;ORANGE BLOOD
56;2023;49;DIMENSION : DILEMMA
79;2023;49;BORDER : CARNIVAL
90;2023;49;BORDER : DAY ONE
11;2023;48;ORANGE BLOOD (Weverse)
17;2023;48;ORANGE BLOOD
67;2023;48;DARK BLOOD
91;2023;48;DIMENSION : ANSWER
4;2023;47;ORANGE BLOOD (Weverse)
11;2023;47;ORANGE BLOOD
56;2023;47;DARK BLOOD
1;2023;46;ORANGE BLOOD
4;2023;46;ORANGE BLOOD (Weverse)
52;2023;46;DARK BLOOD
86;2023;46;MANIFESTO : DAY 1
42;2023;45;DARK BLOOD
49;2023;45;DIMENSION : DILEMMA
59;2023;45;BORDER : CARNIVAL
63;2023;45;MANIFESTO : DAY 1
72;2023;45;BORDER : DAY ONE
73;2023;44;BORDER : CARNIVAL
76;2023;44;DIMENSION : DILEMMA
86;2023;44;DARK BLOOD
29;2023;43;DARK BLOOD
46;2023;43;BORDER : CARNIVAL
53;2023;43;DIMENSION : DILEMMA
88;2023;43;DIMENSION : ANSWER
92;2023;43;BORDER : DAY ONE
95;2023;43;MANIFESTO : DAY 1
37;2023;42;BORDER : CARNIVAL
43;2023;42;DIMENSION : DILEMMA
44;2023;42;BORDER : DAY ONE
69;2023;42;DARK BLOOD
98;2023;42;DIMENSION : ANSWER
45;2023;41;DARK BLOOD
60;2023;41;DIMENSION : DILEMMA
80;2023;41;BORDER : CARNIVAL
87;2023;41;DIMENSION : ANSWER
89;2023;41;MANIFESTO : DAY 1
95;2023;41;BORDER : DAY ONE
39;2023;40;BORDER : CARNIVAL
43;2023;40;BORDER : DAY ONE
51;2023;40;DIMENSION : DILEMMA
72;2023;40;DIMENSION : ANSWER
73;2023;40;DARK BLOOD
92;2023;40;MANIFESTO : DAY 1
16;2023;39;DARK BLOOD
38;2023;39;DIMENSION : ANSWER
62;2023;39;DIMENSION : DILEMMA
63;2023;39;BORDER : CARNIVAL
64;2023;39;BORDER : DAY ONE
91;2023;39;MANIFESTO : DAY 1
63;2023;38;DIMENSION : DILEMMA
87;2023;38;DARK BLOOD
91;2023;38;BORDER : CARNIVAL
93;2023;38;BORDER : DAY ONE
47;2023;37;DARK BLOOD
91;2023;37;DIMENSION : DILEMMA
92;2023;37;BORDER : CARNIVAL
44;2023;36;DIMENSION : ANSWER
48;2023;36;DARK BLOOD
69;2023;36;DIMENSION : DILEMMA
99;2023;36;BORDER : DAY ONE
48;2023;35;DARK BLOOD
66;2023;35;DIMENSION : DILEMMA
69;2023;35;BORDER : CARNIVAL
89;2023;35;DIMENSION : ANSWER
93;2023;35;DARK BLOOD (Weverse)
94;2023;35;BORDER : DAY ONE
59;2023;34;DIMENSION : DILEMMA
68;2023;34;DIMENSION : ANSWER
76;2023;34;BORDER : DAY ONE
88;2023;34;BORDER : CARNIVAL
97;2023;34;DARK BLOOD (Weverse)
51;2023;33;DARK BLOOD
71;2023;33;DIMENSION : DILEMMA
49;2023;32;DIMENSION : DILEMMA
53;2023;32;BORDER : CARNIVAL
59;2023;32;DARK BLOOD
64;2023;32;BORDER : DAY ONE
66;2023;32;MANIFESTO : DAY 1
86;2023;32;DIMENSION : ANSWER
67;2023;31;DARK BLOOD
79;2023;31;DIMENSION : ANSWER
83;2023;31;DIMENSION : DILEMMA
90;2023;31;BORDER : CARNIVAL
97;2023;31;BORDER : DAY ONE
99;2023;31;DARK BLOOD (Weverse)
31;2023;30;DARK BLOOD
63;2023;30;DARK BLOOD (Weverse)
83;2023;30;DIMENSION : DILEMMA
84;2023;30;BORDER : CARNIVAL
93;2023;30;MANIFESTO : DAY 1
98;2023;30;BORDER : DAY ONE
61;2023;29;DIMENSION : ANSWER
70;2023;29;DARK BLOOD
71;2023;29;DIMENSION : DILEMMA
91;2023;29;DARK BLOOD (Weverse)
44;2023;28;DARK BLOOD (Weverse)
54;2023;28;DARK BLOOD
58;2023;28;DIMENSION : ANSWER
59;2023;28;DIMENSION : DILEMMA
63;2023;28;BORDER : DAY ONE
47;2023;27;DARK BLOOD
57;2023;27;DARK BLOOD (Weverse)
70;2023;27;BORDER : DAY ONE
77;2023;27;DIMENSION : DILEMMA
80;2023;27;DIMENSION : ANSWER
98;2023;27;BORDER : CARNIVAL
15;2023;26;DARK BLOOD
54;2023;26;DARK BLOOD (Weverse)
